scenario,fiscal_year,total_revenue,contributions,program_revenue,investment_income,total_expense,program_expense,mg_expense,fundraising_expense,personnel,fte,operating_result,closing_liquid_reserves,closing_net_assets,liquid_runway_months,net_asset_multiple,program_ratio,participants,outcomes,cost_per_outcome
Downside,2025,22448864.16,20710308.96,1086055.2,652500.0,18050060.61,14122578.55,2290158.48,1637323.58,11677720.23,111.32,4398803.55,40648803.55,44305857.55,27.024,2.4546,0.7824,9923.12,1374.48,10274.85
Downside,2026,18352718.68,16589287.78,1031752.44,731678.46,17841947.34,13902266.32,2391536.93,1548144.09,11280677.74,102.41,510771.34,41159574.89,44816628.89,27.683,2.5119,0.7792,9129.27,1264.52,10994.09
Downside,2027,15086007.61,13364970.44,980164.82,740872.35,17650373.13,13685390.97,2497403.09,1467579.07,10897134.7,94.22,-2564365.53,38595209.37,42252263.37,26.24,2.3938,0.7754,8398.93,1163.36,11763.68
Downside,2028,12453437.35,10827567.01,931156.58,694713.77,17474533.41,13471898.87,2607955.64,1394678.91,10526632.12,86.68,-5021096.06,33574113.3,37231167.3,23.056,2.1306,0.7709,7727.01,1070.29,12587.14
Downside,2029,10308162.01,8819229.22,884598.75,604334.04,17313739.71,13261737.25,2723402.01,1328600.45,10168726.63,79.75,-7005577.7,26568535.6,30225589.6,18.414,1.7458,0.766,7108.85,984.67,13468.23
Base,2025,27749073.45,25136900.17,1234673.28,1377500.0,19873118.9,15739415.81,2358313.63,1775389.46,13326624.0,128.26,7875954.55,44125954.55,47783008.55,26.645,2.4044,0.792,11433.16,1583.64,9938.76
Base,2026,27376797.48,24366564.07,1333447.14,1676786.27,21621825.36,17267713.09,2535999.36,1818112.92,14691270.3,135.96,5754972.12,49880926.67,53537980.67,27.684,2.4761,0.7986,12119.15,1678.66,10286.62
Base,2027,27025705.97,23690107.84,1440122.91,1895475.21,23536071.77,18944408.03,2727072.71,1864591.04,16195656.38,144.11,3489634.2,53370560.87,57027614.87,27.211,2.423,0.8049,12846.3,1779.38,10646.65
Base,2028,26684542.78,23101128.72,1555332.75,2028081.31,25631521.39,20783910.05,2932542.36,1915068.98,17854091.59,152.76,1053021.39,54423582.25,58080636.25,25.48,2.266,0.8109,13617.08,1886.14,11019.28
Base,2029,26341676.56,22593821.07,1679759.37,2068096.13,27925323.61,22802027.71,3153493.01,1969802.89,19682350.57,161.93,-1583647.05,52839935.21,56496989.21,22.706,2.0231,0.8165,14434.1,1999.31,11404.95
Upside,2025,31746271.71,28403526.83,1348994.88,1993750.0,21269718.95,16974639.31,2415377.07,1879702.57,14513738.0,140.36,10476552.75,46726552.75,50383606.75,26.362,2.3688,0.7981,12511.76,1733.04,9794.72
Upside,2026,35206665.33,31044890.97,1591813.96,2569960.4,24780555.01,20084393.23,2660209.83,2035951.94,17425193.85,162.82,10426110.32,57152663.07,60809717.07,27.676,2.4539,0.8105,14513.64,2010.33,9990.61
Upside,2027,38981618.59,33959881.65,1878340.47,3143396.47,28899853.5,23763854.08,2929859.87,2206139.55,20920687.73,188.87,10081765.09,67234428.16,70891482.16,27.918,2.453,0.8223,16835.82,2331.98,10190.43
Upside,2028,43093762.6,37179427.29,2216441.76,3697893.55,31821002.89,26284433.32,3144979.13,2391590.44,23346102.13,203.64,11272759.71,78507187.87,82164241.87,29.606,2.5821,0.826,19100.3,2537.73,10357.47
Upside,2029,47671482.74,40738186.14,2615401.27,4317895.33,33671221.89,27758514.22,3318945.75,2593761.91,24823684.97,209.2,14000260.85,92507448.73,96164502.73,32.968,2.856,0.8244,20896.32,2634.28,10537.4
