Year,AccountKey,Budget,Actual,Variance,VariancePct,Direction
2024,1,23195073.44,26008174,2813100.56,0.12128,Favourable
2024,2,1194065.6,1143216,-50849.6,-0.042585,Unfavourable
2024,3,688826.88,1429021,740194.12,1.074572,Favourable
2024,5,25077965.92,28580411,3502445.08,0.139662,Favourable
2024,6,13476070.13,14346382.11,870311.98,0.064582,Unfavourable
2024,7,2134141.37,2193077.52,58936.15,0.027616,Unfavourable
2024,8,1600606.03,1736186.37,135580.34,0.084706,Unfavourable
2024,9,17210817.54,18275646,1064828.46,0.06187,Unfavourable
2024,10,7867148.38,10304765,2437616.62,0.309848,Favourable
2024,11,11514286.22,12086685.4,572399.18,0.049712,Unfavourable
2024,12,5696531.32,6188960.6,492429.28,0.086444,Unfavourable
