Year,ScenarioKey,AccountKey,Amount
2019,0,1,6528091
2019,0,2,353671
2019,0,3,3602
2019,0,4,-135303
2019,0,5,6750061
2019,0,6,4214691.34
2019,0,7,774352.74
2019,0,8,542046.92
2019,0,9,5531091
2019,0,10,1218970
2019,0,11,4236227.5
2019,0,12,1294863.5
2019,0,13,4915534
2019,0,14,461151
2019,0,15,4454383
2019,0,16,2064524.28
2019,0,17,3539184.48
2020,0,1,6738370
2020,0,2,304509
2020,0,3,21624
2020,0,4,-48199
2020,0,5,7016304
2020,0,6,4354947.07
2020,0,7,776859.05
2020,0,8,538697.88
2020,0,9,5670504
2020,0,10,1345800
2020,0,11,4421578.7
2020,0,12,1248925.3
2020,0,13,7157462
2020,0,14,1357279
2020,0,15,5800183
2020,0,16,3292432.52
2020,0,17,5439671.12
2021,0,1,11624463
2021,0,2,383141
2021,0,3,237
2021,0,4,-34318
2021,0,5,11973523
2021,0,6,5335716.06
2021,0,7,923754.46
2021,0,8,634219.48
2021,0,9,6893690
2021,0,10,5079833
2021,0,11,5061524.9
2021,0,12,1832165.1
2021,0,13,12593796
2021,0,14,1713780
2021,0,15,10880016
2021,0,16,5541270.24
2021,0,17,10326912.72
2022,0,1,18348946
2022,0,2,1064285
2022,0,3,14416
2022,0,4,-121695
2022,0,5,19305952
2022,0,6,7266786.54
2022,0,7,1201814.7
2022,0,8,847791.76
2022,0,9,9316393
2022,0,10,9989559
2022,0,11,7014256.3
2022,0,12,2302136.7
2022,0,13,23406064
2022,0,14,2536489
2022,0,15,20869575
2022,0,16,9362425.6
2022,0,17,20129215.04
2023,0,1,20709887
2023,0,2,1066130
2023,0,3,672813
2023,0,4,-57789
2023,0,5,22391041
2023,0,6,10695293.76
2023,0,7,1693763.0
2023,0,8,1270322.25
2023,0,9,13659379
2023,0,10,8731662
2023,0,11,9138322.4
2023,0,12,4521056.6
2023,0,13,31782416
2023,0,14,2181179
2023,0,15,29601237
2023,0,16,12395142.24
2023,0,17,26697229.44
2024,0,1,26008174
2024,0,2,1143216
2024,0,3,1429021
2024,0,4,0
2024,0,5,28580411
2024,0,6,14346382.11
2024,0,7,2193077.52
2024,0,8,1736186.37
2024,0,9,18275646
2024,0,10,10304765
2024,0,11,12086685.4
2024,0,12,6188960.6
2024,0,13,42583791
2024,0,14,2676737
2024,0,15,39907054
2024,0,16,16850000.0
2024,0,17,36250000.0
2025,1,1,20710308.96
2025,1,2,1086055.2
2025,1,3,652500.0
2025,1,4,0.0
2025,1,5,22448864.16
2025,1,6,14122578.55
2025,1,7,2290158.48
2025,1,8,1637323.58
2025,1,9,18050060.61
2025,1,10,4398803.55
2025,1,11,11677720.23
2025,1,12,6372340.38
2025,1,15,44305857.55
2025,1,17,40648803.55
2025,1,16,18894685.23
2026,1,1,16589287.78
2026,1,2,1031752.44
2026,1,3,731678.46
2026,1,4,0.0
2026,1,5,18352718.68
2026,1,6,13902266.32
2026,1,7,2391536.93
2026,1,8,1548144.09
2026,1,9,17841947.34
2026,1,10,510771.34
2026,1,11,11280677.74
2026,1,12,6561269.59
2026,1,15,44816628.89
2026,1,17,41159574.89
2026,1,16,19132105.85
2027,1,1,13364970.44
2027,1,2,980164.82
2027,1,3,740872.35
2027,1,4,0.0
2027,1,5,15086007.61
2027,1,6,13685390.97
2027,1,7,2497403.09
2027,1,8,1467579.07
2027,1,9,17650373.13
2027,1,10,-2564365.53
2027,1,11,10897134.7
2027,1,12,6753238.43
2027,1,15,42252263.37
2027,1,17,38595209.37
2027,1,16,17940118.01
2028,1,1,10827567.01
2028,1,2,931156.58
2028,1,3,694713.77
2028,1,4,0.0
2028,1,5,12453437.35
2028,1,6,13471898.87
2028,1,7,2607955.64
