Year,ScenarioKey,SourceKey,Amount,Donors,AverageGift
2019,0,1,783370.92,,
2019,0,2,1370899.11,,
2019,0,3,2872360.04,,
2019,0,4,1240337.29,,
2019,0,5,261123.64,,
2020,0,1,808604.4,,
2020,0,2,1415057.7,,
2020,0,3,2964882.8,,
2020,0,4,1280290.3,,
2020,0,5,269534.8,,
2021,0,1,1394935.56,,
2021,0,2,2441137.23,,
2021,0,3,5114763.72,,
2021,0,4,2208647.97,,
2021,0,5,464978.52,,
2022,0,1,2201873.52,,
2022,0,2,3853278.66,,
2022,0,3,8073536.24,,
2022,0,4,3486299.74,,
2022,0,5,733957.84,,
2023,0,1,2485186.44,,
2023,0,2,4349076.27,,
2023,0,3,9112350.28,,
2023,0,4,3934878.53,,
2023,0,5,828395.48,,
2024,0,1,3120980.88,,
2024,0,2,5461716.54,,
2024,0,3,11443596.56,,
2024,0,4,4941553.06,,
2024,0,5,1040326.96,,
2025,1,1,2746463.17,7264.31,378.08
2025,1,2,4642459.06,178.33,26032.48
2025,1,3,8926005.32,48.18,185277.28
2025,1,4,3459087.14,7.55,458216.74
2025,1,5,936294.26,1447.06,647.03
2026,1,1,2416887.59,6267.25,385.64
2026,1,2,3946090.2,148.61,26553.13
2026,1,3,6962284.15,36.84,188982.82
2026,1,4,2421361.0,5.18,467381.07
2026,1,5,842664.84,1276.82,659.97
2027,1,1,2126861.08,5407.04,393.35
2027,1,2,3354176.67,123.84,27084.19
2027,1,3,5430581.63,28.17,192762.48
2027,1,4,1694952.7,3.56,476728.69
2027,1,5,758398.35,1126.6,673.17
2028,1,1,1871637.75,4664.9,401.22
2028,1,2,2851050.17,103.2,27625.88
2028,1,3,4235853.68,21.54,196617.73
2028,1,4,1186466.89,2.44,486263.27
2028,1,5,682558.52,994.06,686.64
2029,1,1,1647041.22,4024.62,409.24
2029,1,2,2423392.64,86.0,28178.39
2029,1,3,3303965.87,16.47,200550.08
2029,1,4,830526.82,1.67,495988.53
2029,1,5,614302.67,877.11,700.37
2025,2,1,3245820.12,8585.1,378.08
2025,2,2,5625568.04,216.1,26032.48
2025,2,3,10756980.77,58.06,185277.28
2025,2,4,4447397.75,9.71,458216.74
2025,2,5,1061133.5,1640.0,647.03
2026,2,1,3375652.92,8753.43,385.64
2026,2,2,5794335.08,218.22,26553.13
2026,2,3,10111561.92,53.51,188982.82
2026,2,4,4002657.98,8.56,467381.07
2026,2,5,1082356.17,1640.0,659.97
2027,2,1,3510679.04,8925.07,393.35
2027,2,2,5968165.13,220.36,27084.19
2027,2,3,9504868.21,49.31,192762.48
2027,2,4,3602392.18,7.56,476728.69
2027,2,5,1104003.29,1640.0,673.17
2028,2,1,3651106.2,9100.07,401.22
2028,2,2,6147210.08,222.52,27625.88
2028,2,3,8934576.11,45.44,196617.73
2028,2,4,3242152.96,6.67,486263.27
2028,2,5,1126083.36,1640.0,686.64
2029,2,1,3797150.45,9278.5,409.24
2029,2,2,6331626.39,224.7,28178.39
2029,2,3,8398501.55,41.88,200550.08
2029,2,4,2917937.67,5.88,495988.53
2029,2,5,1148605.03,1640.0,700.37
2025,3,1,3495498.59,9245.49,378.08
2025,3,2,6226356.86,239.18,26032.48
2025,3,3,12359084.28,66.71,185277.28
2025,3,4,5188630.71,11.32,458216.74
2025,3,5,1133956.39,1752.55,647.03
2026,3,1,3914958.42,10151.91,385.64
2026,3,2,7098046.82,267.31,26553.13
2026,3,3,13347811.03,70.63,188982.82
2026,3,4,5448062.25,11.66,467381.07
2026,3,5,1236012.46,1872.82,659.97
2027,3,1,4384753.43,11147.2,393.35
2027,3,2,8091773.37,298.76,27084.19
2027,3,3,14415635.91,74.78,192762.48
2027,3,4,5720465.36,12.0,476728.69
2027,3,5,1347253.58,2001.35,673.17
2028,3,1,4910923.84,12240.06,401.22
2028,3,2,9224621.64,333.91,27625.88
2028,3,3,15568886.78,79.18,196617.73
2028,3,4,6006488.63,12.35,486263.27
2028,3,5,1468506.41,2138.7,686.64
2029,3,1,5500234.7,13440.06,409.24
2029,3,2,10516068.67,373.2,28178.39
2029,3,3,16814397.73,83.84,200550.08
2029,3,4,6306813.06,12.72,495988.53
2029,3,5,1600671.98,2285.47,700.37
