Year,ScenarioKey,ProgramKey,Participants,Completers,Outcomes,ProgramCost,DirectCost,IndirectCost,StaffHours,EarningsGain
2024,0,1,2050,1455.5,861,7890000.06,5680800.04,2209200.02,79950.0,52521000
2024,0,2,7395,1774.8,333,2220000.02,1287600.01,932400.01,18487.5,12321000
2024,0,3,700,406.0,217,2940000.02,2234400.02,705600.01,42000.0,19096000
2024,0,4,641,294.86,83,1296382.01,829684.49,466697.52,9989.7,3859500
2025,1,1,1886.0,1339.06,792.12,7766916.06,5592179.56,2174736.5,73554.0,48319320.0
2025,1,2,6803.4,1632.82,306.36,2185368.02,1267513.45,917854.57,17008.5,11335320.0
2025,1,3,644.0,373.52,199.64,2894136.02,2199543.38,694592.65,38640.0,17568320.0
2025,1,4,589.72,271.27,76.36,1276158.45,816741.41,459417.04,9190.52,3550740.0
2026,1,1,1735.12,1231.94,728.75,7645752.17,5504941.56,2140810.61,67669.68,44453774.4
2026,1,2,6259.13,1502.19,281.85,2151276.28,1247740.24,903536.04,15647.82,10428494.4
2026,1,3,592.48,343.64,183.67,2848987.5,2165230.5,683757.0,35548.8,16162854.4
2026,1,4,542.54,249.57,70.25,1256250.38,804000.24,452250.14,8455.28,3266680.8
2027,1,1,1596.31,1133.38,670.45,7526478.44,5419064.47,2107413.96,62256.11,40897472.45
2027,1,2,5758.4,1382.02,259.3,2117716.37,1228275.49,889440.87,14395.99,9594214.85
2027,1,3,545.08,316.15,168.98,2804543.3,2131452.9,673090.39,32704.9,14869826.05
2027,1,4,499.14,229.6,64.63,1236652.87,791457.84,445195.03,7778.86,3005346.34
2028,1,1,1468.61,1042.71,616.81,7409065.37,5334527.07,2074538.3,57275.62,37625674.65
2028,1,2,5297.73,1271.45,238.56,2084679.99,1209114.39,875565.6,13244.31,8826677.66
2028,1,3,501.48,290.86,155.46,2760792.42,2098202.24,662590.18,30088.5,13680239.96
2028,1,4,459.21,211.24,59.46,1217361.09,779111.1,438249.99,7156.55,2764918.63
2029,1,1,1351.12,959.29,567.47,7293483.95,5251308.45,2042175.51,52693.57,34615620.68
2029,1,2,4873.91,1169.74,219.47,2052158.98,1190252.21,861906.77,12184.77,8120543.45
2029,1,3,461.36,267.59,143.02,2717724.06,2065470.28,652253.77,27681.42,12585820.77
2029,1,4,422.47,194.34,54.7,1198370.26,766956.96,431413.29,6584.03,2543725.14
2025,2,1,2173.0,1542.83,912.66,8656119.07,6232405.73,2423713.34,84747.0,55672260.0
2025,2,2,7838.7,1881.29,352.98,2435562.02,1412625.97,1022936.05,19596.75,13060260.0
2025,2,3,742.0,430.36,230.02,3225474.02,2451360.26,774113.77,44520.0,20241760.0
2025,2,4,679.46,312.55,87.98,1422260.7,910246.85,512013.85,10589.08,4091070.0
2026,2,1,2303.38,1635.4,967.42,9496628.23,6837572.32,2659055.9,89831.82,59012595.6
2026,2,2,8309.02,1994.17,374.16,2672055.09,1549791.95,1122263.14,20772.56,13843875.6
2026,2,3,786.52,456.18,243.82,3538667.55,2689387.34,849280.21,47191.2,21456265.6
2026,2,4,720.23,331.3,93.26,1560362.22,998631.82,561730.4,11224.43,4336534.2
2027,2,1,2441.58,1733.52,1025.46,10418750.83,7501500.6,2917250.23,95221.73,62553351.34
2027,2,2,8807.56,2113.82,396.61,2931511.64,1700276.75,1231234.89,22018.91,14674508.14
2027,2,3,833.71,483.55,258.45,3882272.17,2950526.85,931745.32,50022.67,22743641.54
2027,2,4,763.44,351.18,98.85,1711873.39,1095598.97,616274.42,11897.89,4596726.25
2028,2,1,2588.08,1837.54,1086.99,11430411.53,8229896.3,3200515.23,100935.03,66306552.42
2028,2,2,9336.02,2240.64,420.4,3216161.42,1865373.62,1350787.8,23340.04,15554978.62
2028,2,3,883.73,512.57,273.96,4259240.8,3237023.01,1022217.79,53024.03,24108260.03
2028,2,4,809.25,372.25,104.79,1878096.29,1201981.63,676114.67,12611.77,4872529.83
2029,2,1,2743.36,1947.79,1152.21,12540304.49,9029019.24,3511285.26,106991.13,70284945.56
2029,2,2,9896.18,2375.08,445.63,3528450.69,2046501.4,1481949.29,24740.45,16488277.34
2029,2,3,936.76,543.32,290.39,4672813.08,3551337.94,1121475.14,56205.47,25554755.63
2029,2,4,857.8,394.59,111.07,2060459.44,1318694.04,741765.4,13368.47,5164881.62
2025,3,1,2378.0,1688.38,998.76,9335448.07,6721522.61,2613925.46,92742.0,60924360.0
2025,3,2,8578.2,2058.77,386.28,2626704.02,1523488.33,1103215.69,21445.5,14292360.0
2025,3,3,812.0,470.96,251.72,3478608.03,2643742.1,834865.93,48720.0,22151360.0
2025,3,4,743.56,342.04,96.28,1533879.19,981682.68,552196.51,11588.05,4477020.0
2026,3,1,2758.48,1958.52,1158.56,11045702.16,7952905.55,3092796.6,107580.72,70672257.6
2026,3,2,9950.71,2388.17,448.08,3107916.2,1802591.39,1305324.8,24876.78,16579137.6
2026,3,3,941.92,546.31,292.0,4115889.02,3128075.65,987813.36,56515.2,25695577.6
2026,3,4,862.53,396.76,111.68,1814885.86,1161526.95,653358.91,13442.14,5193343.2
2027,3,1,3199.84,2271.88,1343.93,13069274.79,9409877.85,3659396.94,124793.64,81979818.82
2027,3,2,11542.83,2770.28,519.78,3677286.44,2132826.14,1544460.31,28857.06,19231799.62
2027,3,3,1092.63,633.72,338.71,4869919.89,3701139.11,1168780.77,65557.63,29806870.02
2027,3,4,1000.53,460.25,129.55,2147372.95,1374318.69,773054.26,15592.88,6024278.11
2028,3,1,3400,2414.0,1428.0,14164548.95,10198475.24,3966073.71,132600.0,87108000.0
2028,3,2,13389.68,3213.52,602.94,4350965.32,2523559.89,1827405.43,33474.2,22308887.55
2028,3,3,1150,667.0,356.5,5228147.37,3973392.0,1254755.37,69000.0,31372000.0
2028,3,4,1160.62,533.89,150.28,2540771.68,1626093.87,914677.8,18087.74,6988162.61
2029,3,1,3400,2414.0,1428.0,14447839.93,10402444.75,4045395.18,132600.0,87108000.0
2029,3,2,15000,3600.0,675.46,4971722.92,2883599.3,2088123.63,37500.0,24991886.41
2029,3,3,1150,667.0,356.5,5332710.32,4052859.84,1279850.48,69000.0,31372000.0
2029,3,4,1346.32,619.31,174.33,3006241.05,1923994.27,1082246.78,20981.78,8106268.63
