Scenario,FundingShock,FinalYearResult,StructuralResult,CumulativeResult,ClosingLiquidReserves,LiquidRunwayMonths,Participants,Outcomes,CapacityRetained,ParticipantsLost,OutcomesLost,YearsToReserveFloor,BreachesFloor
Downside,0.0,-7005577.7,-7005577.7,-9681464.4,26568535.6,18.414,7108.85,984.67,1.0,0.0,0.0,7,0
Downside,0.1,-7937893.27,-7937893.27,-16685419.94,19564580.06,13.606,7108.85,984.67,1.0,0.0,0.0,7,0
Downside,0.2,-8870208.84,-8870208.84,-23689375.48,12560624.52,8.765,7108.85,984.67,1.0,0.0,0.0,6,0
Downside,0.3,-7794620.7,-9802524.4,-28685427.31,7564572.69,6.0,6143.81,851.0,0.8642,965.05,133.67,5,1
Downside,0.4,-4077264.86,-10734839.97,-31039711.45,5210288.55,6.0,3902.68,540.57,0.549,3206.17,444.1,5,1
Downside,0.5,-2723680.96,-11667155.54,-32179908.89,4070091.11,6.0,2871.89,397.79,0.404,4236.96,586.87,4,1
Base,0.0,-1583647.05,-1583647.05,16589935.21,52839935.21,22.706,14434.1,1999.31,1.0,0.0,0.0,9,0
Base,0.1,-4119478.44,-4119478.44,4231429.56,40481429.56,17.456,14434.1,1999.31,1.0,0.0,0.0,8,0
Base,0.2,-6655309.84,-6655309.84,-8127076.09,28122923.91,12.169,14434.1,1999.31,1.0,0.0,0.0,7,0
Base,0.3,-9191141.24,-9191141.24,-20485581.74,15764418.26,6.845,14434.1,1999.31,1.0,0.0,0.0,6,0
Base,0.4,-4818222.95,-11726972.64,-25935337.7,10314662.3,6.0,10396.3,1440.02,0.7203,4037.8,559.29,5,1
Base,0.5,-2317147.77,-14262804.03,-28410107.4,7839892.6,6.0,7591.89,1051.57,0.526,6842.21,947.73,4,1
Upside,0.0,14000260.85,14000260.85,56257448.73,92507448.73,32.968,20896.32,2634.28,1.0,0.0,0.0,,0
Upside,0.1,9313207.48,9313207.48,37958903.02,74208903.02,26.554,20896.32,2634.28,1.0,0.0,0.0,,0
Upside,0.2,4626154.11,4626154.11,19660357.32,55910357.32,20.087,20896.32,2634.28,1.0,0.0,0.0,,0
Upside,0.3,-60899.25,-60899.25,1361811.61,37611811.61,13.568,20896.32,2634.28,1.0,0.0,0.0,,0
Upside,0.4,-4747952.62,-4747952.62,-16936734.09,19313265.91,6.996,20896.32,2634.28,1.0,0.0,0.0,6,0
Upside,0.5,-1338775.52,-9435005.99,-23706605.39,12543394.61,6.0,14729.9,1939.88,0.7049,6166.42,694.4,4,1
